time_iso8601,stars_cumulative
2020-05-29 00:00:00+00:00,1
2020-07-13 00:00:00+00:00,2
2020-07-22 00:00:00+00:00,3
2020-09-22 00:00:00+00:00,4
2020-10-25 00:00:00+00:00,5
2020-10-27 00:00:00+00:00,6
2020-10-30 00:00:00+00:00,7
2020-11-01 00:00:00+00:00,8
2020-11-09 00:00:00+00:00,11
2020-11-10 00:00:00+00:00,12
2020-11-11 00:00:00+00:00,13
2020-11-16 00:00:00+00:00,16
2020-11-17 00:00:00+00:00,17
2020-11-19 00:00:00+00:00,18
2020-11-22 00:00:00+00:00,19
2020-11-23 00:00:00+00:00,21
2020-11-26 00:00:00+00:00,22
2020-11-27 00:00:00+00:00,23
2020-11-28 00:00:00+00:00,24
2020-11-29 00:00:00+00:00,27
2020-11-30 00:00:00+00:00,28
2020-12-02 00:00:00+00:00,29
2020-12-04 00:00:00+00:00,30
2020-12-05 00:00:00+00:00,31
2020-12-08 00:00:00+00:00,32
2020-12-10 00:00:00+00:00,34
2020-12-12 00:00:00+00:00,35
2020-12-13 00:00:00+00:00,37
2020-12-14 00:00:00+00:00,38
2020-12-15 00:00:00+00:00,39
2020-12-17 00:00:00+00:00,42
2020-12-18 00:00:00+00:00,50
2020-12-19 00:00:00+00:00,51
2020-12-20 00:00:00+00:00,53
2020-12-21 00:00:00+00:00,67
2020-12-22 00:00:00+00:00,70
2020-12-23 00:00:00+00:00,73
2020-12-24 00:00:00+00:00,74
2020-12-25 00:00:00+00:00,75
2020-12-26 00:00:00+00:00,76
2020-12-27 00:00:00+00:00,79
2020-12-28 00:00:00+00:00,84
2020-12-29 00:00:00+00:00,88
2020-12-30 00:00:00+00:00,90
2021-01-01 00:00:00+00:00,91
2021-01-02 00:00:00+00:00,93
2021-01-04 00:00:00+00:00,95
2021-01-05 00:00:00+00:00,97
2021-01-06 00:00:00+00:00,98
2021-01-07 00:00:00+00:00,102
2021-01-08 00:00:00+00:00,104
2021-01-09 00:00:00+00:00,105
2021-01-10 00:00:00+00:00,106
2021-01-12 00:00:00+00:00,108
2021-01-14 00:00:00+00:00,109
2021-01-15 00:00:00+00:00,111
2021-01-16 00:00:00+00:00,114
2021-01-17 00:00:00+00:00,117
2021-01-18 00:00:00+00:00,119
2021-01-20 00:00:00+00:00,122
2021-01-21 00:00:00+00:00,126
2021-01-22 00:00:00+00:00,127
2021-01-24 00:00:00+00:00,128
2021-01-25 00:00:00+00:00,131
2021-01-26 00:00:00+00:00,134
2021-01-27 00:00:00+00:00,137
